"Мощность на валу Time";"Мощность на валу ValueY";"Частота Time";"Частота ValueY";"Температура радиатора Time";"Температура радиатора ValueY";"Напряжение Time";"Напряжение ValueY";"Ток Time";"Ток ValueY"
25.05.2020 1:00:55;48,0999984741211;25.05.2020 1:00:55;46,1000022888184;25.05.2020 1:00:55;55;25.05.2020 1:00:55;534;25.05.2020 1:00:55;88,2200012207031
25.05.2020 1:01:55;47,7799987792969;25.05.2020 1:01:55;46,1000022888184;25.05.2020 1:01:55;55;25.05.2020 1:01:55;532;25.05.2020 1:01:55;88,2599945068359
25.05.2020 1:02:55;48;25.05.2020 1:02:55;46,1000022888184;25.05.2020 1:02:55;54;25.05.2020 1:02:55;534;25.05.2020 1:02:55;87,8300018310547
25.05.2020 1:03:55;47,8400001525879;25.05.2020 1:03:55;46,1000022888184;25.05.2020 1:03:55;54;25.05.2020 1:03:55;534;25.05.2020 1:03:55;88,0099945068359
25.05.2020 1:04:55;48,0099983215332;25.05.2020 1:04:55;46,1000022888184;25.05.2020 1:04:55;54;25.05.2020 1:04:55;534;25.05.2020 1:04:55;87,6199951171875
25.05.2020 1:05:55;47,8099975585938;25.05.2020 1:05:55;46,1000022888184;25.05.2020 1:05:55;54;25.05.2020 1:05:55;533;25.05.2020 1:05:55;88,1199951171875
25.05.2020 1:06:55;48,2700004577637;25.05.2020 1:06:55;46,1000022888184;25.05.2020 1:06:55;54;25.05.2020 1:06:55;534;25.05.2020 1:06:55;88,4000015258789
25.05.2020 1:07:55;47,9599990844727;25.05.2020 1:07:55;46,1000022888184;25.05.2020 1:07:55;54;25.05.2020 1:07:55;532;25.05.2020 1:07:55;87,9000015258789
25.05.2020 1:08:55;47,7999992370605;25.05.2020 1:08:55;46,1000022888184;25.05.2020 1:08:55;54;25.05.2020 1:08:55;533;25.05.2020 1:08:55;87,7299957275391
25.05.2020 1:09:55;48,1199989318848;25.05.2020 1:09:55;46,1000022888184;25.05.2020 1:09:55;55;25.05.2020 1:09:55;532;25.05.2020 1:09:55;87,7299957275391
25.05.2020 1:10:55;48,0699996948242;25.05.2020 1:10:55;46,1000022888184;25.05.2020 1:10:55;55;25.05.2020 1:10:55;534;25.05.2020 1:10:55;88,1199951171875
25.05.2020 1:11:55;48,2899971008301;25.05.2020 1:11:55;46,1000022888184;25.05.2020 1:11:55;55;25.05.2020 1:11:55;534;25.05.2020 1:11:55;88,1899948120117
25.05.2020 1:12:55;47,8999977111816;25.05.2020 1:12:55;46,1000022888184;25.05.2020 1:12:55;55;25.05.2020 1:12:55;532;25.05.2020 1:12:55;88,4700012207031
25.05.2020 1:13:55;47,8999977111816;25.05.2020 1:13:55;46,1000022888184;25.05.2020 1:13:55;54;25.05.2020 1:13:55;531;25.05.2020 1:13:55;87,8699951171875
